bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,new_year,price,view,lat
3,1,1180,5650,1,0,0,3,7,1180,0,1340,5650,1955,221900,0,47.5112
3,2.25,2570,7242,2,0,0,3,7,2170,400,1690,7639,1991,538000,0,47.721
2,1,770,10000,1,0,0,3,6,770,0,2720,8062,1933,180000,0,47.7379
4,3,1960,5000,1,0,0,5,7,1050,910,1360,5000,1965,604000,0,47.5208
3,2,1680,8080,1,0,0,3,8,1680,0,1800,7503,1987,510000,0,47.6168
4,4.5,5420,101930,1,0,0,3,11,3890,1530,4760,101930,2001,1230000,0,47.6561
3,2.25,1715,6819,2,0,0,3,7,1715,0,2238,6819,1995,257500,0,47.3097
3,1.5,1060,9711,1,0,0,3,7,1060,0,1650,9711,1963,291850,0,47.4095
3,1,1780,7470,1,0,0,3,7,1050,730,1780,8113,1960,229500,0,47.5123
3,2.5,1890,6560,2,0,0,3,7,1890,0,2390,7570,2003,323000,0,47.3684
3,2.5,3560,9796,1,0,0,3,8,1860,1700,2210,8925,1965,662500,0,47.6007
2,1,1160,6000,1,0,0,4,7,860,300,1330,6000,1942,468000,0,47.69
3,1,1430,19901,1.5,0,0,4,7,1430,0,1780,12697,1927,310000,0,47.7558
3,1.75,1370,9680,1,0,0,4,7,1370,0,1370,10208,1977,400000,0,47.6127
5,2,1810,4850,1.5,0,0,3,7,1810,0,1360,4850,1900,530000,0,47.67
4,3,2950,5000,2,0,3,3,9,1980,970,2140,4000,1979,650000,3,47.5714
3,2,1890,14040,2,0,0,3,7,1890,0,1890,14018,1994,395000,0,47.7277
4,1,1600,4300,1.5,0,0,4,7,1600,0,1610,4300,1916,485000,0,47.6648
2,1,1200,9850,1,0,0,4,7,1200,0,1060,5095,1921,189000,0,47.3089
3,1,1250,9774,1,0,0,4,7,1250,0,1280,8850,1969,230000,0,47.3343
4,1.75,1620,4980,1,0,0,4,7,860,760,1400,4980,1947,385000,0,47.7025
3,2.75,3050,44867,1,0,4,3,9,2330,720,4110,20336,1968,2000000,4,47.5316
5,2.5,2270,6300,2,0,0,3,8,2270,0,2240,7005,1995,285000,0,47.3266
2,1.5,1070,9643,1,0,0,3,7,1070,0,1220,8386,1985,252700,0,47.3533
3,2.25,2450,6500,2,0,0,4,8,2450,0,2200,6865,1985,329000,0,47.3739
3,2,1710,4697,1.5,0,0,5,6,1710,0,1030,4705,1941,233000,0,47.3048
3,1.75,2450,2691,2,0,0,3,8,1750,700,1760,3573,1915,937000,0,47.6386
3,1,1400,1581,1.5,0,0,5,8,1400,0,1860,3861,1909,667000,0,47.6221
3,1.75,1520,6380,1,0,0,3,7,790,730,1520,6235,1948,438000,0,47.695
4,2.5,2570,7173,2,0,0,3,8,2570,0,2630,6026,2005,719000,0,47.7073
3,2.5,2320,3980,2,0,0,3,8,2320,0,2580,3980,2003,580500,0,47.5391
2,1.5,1190,1265,3,0,0,3,7,1190,0,1390,1756,2005,280000,0,47.7274
4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1460,5000,1929,687500,0,47.6823
3,1,1090,3000,1.5,0,0,4,8,1090,0,1570,5080,1929,535000,0,47.6889
4,2.75,2060,6659,1,0,0,3,7,1280,780,2020,8720,1981,322500,0,47.4276
3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1590,3264,2002,696000,0,47.6827
4,1,1660,34848,1,0,0,1,5,930,730,2160,11467,1933,550000,0,47.6621
4,2,2360,6000,2,0,0,4,8,2360,0,1730,4700,1904,640000,0,47.6702
4,1,1220,8075,1,0,0,2,7,890,330,1290,7800,1969,240000,0,47.3341
4,2.5,2620,7553,2,0,0,3,8,2620,0,2620,11884,1996,605000,0,47.5301
4,2.5,2570,5520,2,0,0,3,9,2570,0,2470,5669,2000,625000,0,47.6145
4,2.25,4220,24186,1,0,0,3,8,2600,1620,2410,30617,1984,775000,0,47.445
5,2.75,3595,5639,2,0,0,3,9,3595,0,3625,5639,2014,861990,0,47.6848
3,1,1570,2280,2,0,0,3,7,1570,0,1580,2640,1922,685000,0,47.6413
3,1,1280,9656,1,0,0,4,6,920,360,1340,8808,1959,309000,0,47.4485
3,2.5,3160,13603,2,0,0,3,8,3160,0,3050,9232,2003,488000,0,47.7443
3,1,990,8528,1,0,0,3,6,990,0,1228,8840,1966,210490,0,47.3066
4,2.5,2290,13416,2,0,0,4,9,2290,0,2680,13685,1981,785000,0,47.6194
3,1.75,1250,5963,1,0,0,4,7,1250,0,970,5100,1953,450000,0,47.6796
3,2.5,2753,65005,1,1,2,5,9,2165,588,2680,72513,1953,1350000,2,47.4041
3,1,1190,9199,1,0,0,3,7,1190,0,1190,9364,1955,228000,0,47.4258
5,2.5,3150,9134,1,0,0,4,8,1640,1510,1990,9133,1966,345000,0,47.4934
3,1.75,1410,4080,1,0,0,4,7,1000,410,1410,4080,1950,600000,0,47.6808
2,1.75,1980,8550,1,0,0,3,7,990,990,1480,6738,1981,585000,0,47.6989
5,2.25,2730,6000,1.5,0,0,3,8,2130,600,2730,6000,1927,920000,0,47.6571
4,2.5,2830,5000,2,0,0,3,9,2830,0,1950,5000,1995,885000,0,47.6597
4,2.5,2250,4495,2,0,0,3,7,2250,0,2250,4500,2008,292500,0,47.3663
3,2.5,2420,4750,2,0,0,3,8,2420,0,2690,4750,2003,301000,0,47.3663
5,3.25,3250,14342,2,0,4,4,8,3250,0,2960,11044,1968,951000,4,47.588
4,3,1850,9976,2,0,0,3,8,1850,0,2270,8542,1991,430000,0,47.5059
3,2.25,2150,21235,1,0,3,4,8,1590,560,2570,18900,1959,650000,3,47.4336
3,1.75,1260,8400,1,0,0,3,7,1260,0,1290,8750,1954,289000,0,47.4366
3,1.75,2519,8690,2,0,0,5,8,2519,0,2500,9500,1973,505000,0,47.4428
3,1.75,1540,1044,3,0,0,3,8,1540,0,1580,3090,2014,549000,0,47.6765
3,2.25,1660,6000,1,0,0,3,7,1110,550,1440,4080,1979,425000,0,47.6113
3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1440,4000,1925,317625,0,47.5747
4,2.5,2720,11049,2,0,0,3,10,2720,0,2750,11049,1989,975000,0,47.5815
4,2.5,2240,4648,2,0,0,3,7,2240,0,2221,4557,2005,287000,0,47.3378
3,1,1000,12070,1,0,0,4,7,1000,0,1010,12635,1968,204000,0,47.3621
5,2.25,3200,20158,1,0,0,3,8,1600,1600,3390,20158,1965,1330000,0,47.6303
5,3.25,4770,50094,1,0,0,4,11,3070,1700,3530,38917,1973,1040000,0,47.6525
3,2,1260,5612,1,0,0,4,7,1260,0,1640,4745,1972,325000,0,47.7362
4,2,2750,7807,1.5,0,0,5,7,2250,500,1510,7807,1916,571000,0,47.7168
4,2.5,2380,5000,2,0,0,3,8,2380,0,2420,5000,2005,360000,0,47.3608
3,1.75,1790,50529,1,0,0,5,7,1090,700,1940,50529,1965,349000,0,47.3511
4,4,3430,35102,2,0,0,4,10,2390,1040,3240,35020,1986,832500,0,47.5822
4,1.75,1760,7300,1,0,0,3,7,880,880,1680,7500,1956,380000,0,47.6034
3,1,1040,5060,1,0,0,3,7,1040,0,890,5060,1941,480000,0,47.5636
3,1,1410,5060,1,0,0,4,7,910,500,1130,5693,1956,410000,0,47.7073
4,2.5,3450,39683,2,0,0,3,10,3450,0,3350,39750,2002,720000,0,47.342
3,2.5,2350,5100,2,0,0,3,8,2350,0,2350,5363,2003,390000,0,47.3512
4,2.5,1900,5889,2,0,0,3,7,1900,0,1870,6405,1992,360000,0,47.349
2,1,2020,6720,1,0,0,3,7,1010,1010,1720,6720,1948,355000,0,47.5474
3,1.5,1680,8712,1,0,0,3,8,1680,0,1850,8797,1964,356000,0,47.4811
3,1,960,6634,1,0,0,3,6,960,0,1570,7203,1952,315000,0,47.7264
3,1.5,2140,3600,2,0,0,3,9,1900,240,2020,4800,1925,940000,0,47.6337
5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1590,8165,1961,305000,0,47.2909
3,3.25,2770,6278,2,0,0,3,9,1980,790,1900,7349,2006,461000,0,47.5228
2,2.25,1610,2040,2,0,0,4,7,1610,0,1950,2025,1979,215000,0,47.518
2,1.75,1030,1066,2,0,0,3,7,765,265,1030,1106,2006,335000,0,47.5394
4,2.5,1980,7403,2,0,0,3,7,1980,0,1980,7510,1988,243500,0,47.2897
5,2.75,3520,6353,2,0,0,4,10,3520,0,2520,6250,2001,1100000,0,47.6506
3,1,1200,10500,1,0,0,3,7,1200,0,1350,10500,1962,153000,0,47.322
3,1.5,1580,5000,1,0,0,3,8,1290,290,1570,4500,1939,430000,0,47.687
3,1.5,1580,5000,1,0,0,3,8,1290,290,1570,4500,1939,700000,0,47.687
4,2.5,3300,10250,1,0,0,3,7,2390,910,1950,6045,1991,905000,0,47.5873
3,1.75,1960,15681,1,0,0,3,7,1960,0,1750,15616,1967,247500,0,47.3576
4,1.5,1160,6400,1,0,0,4,7,1160,0,1160,6400,1975,199000,0,47.3036
3,1.75,1810,41800,1,0,0,5,7,1210,600,1650,135036,1980,314000,0,47.4109
3,2.5,2320,36847,2,0,2,3,9,2320,0,2550,35065,1992,437500,2,47.4838
3,2.5,2070,13241,1.5,0,0,5,9,1270,800,2200,4500,1910,850830,0,47.6415
3,2,1980,3478,1.5,0,0,4,7,1440,540,1610,3478,1929,555000,0,47.6775
3,2.25,2190,107593,2,0,0,4,8,2190,0,2570,47777,1983,699950,0,47.7731
3,2.5,2920,8113,2,0,0,3,8,2920,0,2370,8113,2010,1090000,0,47.5814
